XMLType,DigitalCollectionsURLs,UMDM,UMAM,SharestreamURLs,Identifier,FileName,DurationMasters,DurationDerivatives,DigitizedByDept,DigitizedByPers,DateDigitized,PlaybackDevice,AnalogInterface,DigitizationSoftware,Title,AlternateTitle,Creator,CreatorType,Contributor,ContributorType,Provider/Publisher,Provider/PublisherType,Description/Summary,FedoraCollection,DateAttribute,DateCreated,OriginalBroadcastDate,Century,Language,Accession,Series,Subseries,Box,Item,ArchivalCollection,CopyrightHolder,Rights,RepositoryBrowse,TopicalSubject,GeographicalSubject,PersonalSubject,CorpSubject,MediaType,FormType,Form,Format,Dimensions,RecordingNotes,Mono/Stereo,TrackFormat,Frequency,PlaybackSpeed,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,QANotes,Finished,DigitizationNotes,Department,TopicalScheme,GeographicalScheme,PersonalScheme,CorpScheme
UMDM,,,,,Traver 1,,,,,,,,,,"Agnus - Missa Sol, undated",Agnus - Missa Sol,,,,,,,"Agnus, Missa Solemnis, undated.",Music & Performing Arts,,undated,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",My Topic,My Place Subject,My Personal Subject,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""",Choral Performance,,,,,North America,United States of America,Maryland,College Park,,hiss; end cut off,yes,,Special Collections in Performing Arts,LCSH,,LCNAF,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=51d8c9b12c3a423,Traver 1,scpa-024122-0001,0:16:05,0:16:05,George Blood Audio Video,,12/11/13,Ampex ATR104,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,mono,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 2,,,,,,,,,,"Choral performance, 1976-1977",Unknown,,,,,,,"Choral performance - Side I: 1. ""Mahler '2nd' - 4/77 - Mono""; 2. ""Brahms 'Song of Fate - 4/76 - Stereo""; 3. ""Evett - Monadmach - 4/76 - Stereo""; 4. ""Barber - 'School/Scandal' - 9/76 - Mono"" Side II: 1. ""Bernstein - 'Chic. Psalms' - 9/76 - Mono""; 2. ""Beethoven - '9th' - 4/76 - Mono"". Ash Chappell.",Music & Performing Arts,range,1976-1977,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""","Choral Performance - Side I: 1. ""Mahler '2nd' - 4/77 - Mono""; 2. ""Brahms 'Song of Fate - 4/76 - Stereo""; 3. ""Evett - Monadmach - 4/76 - Stereo""; 4. ""Barber - 'School/Scandal' - 9/76 - Mono"" Side II: 1. ""Bernstein - 'Chic. Psalms' - 9/76 - Mono""; 2. ""Beethoven - '9th' - 4/76 - Mono"". Ash Chappell.",,,,,North America,United States of America,Maryland,College Park,,buzz; hiss; interview with Dr. Paul Traver regarding Summer Fine Arts Festival at University of Maryland,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=da147da003c745e,Traver 2,scpa-024123-0001,0:05:43,0:05:43,George Blood Audio Video,,12/11/13,Studer A810,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,mono,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 3,,,,,,,,,,"University of Maryland Chorus performances, 1976-1977",MD Chorus Performances '76-'77,,,,,,,"University of Maryland Chorus performances, 1976-1977.",Music & Performing Arts,range,1976-1977,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""",Choral Performance,,,,,North America,United States of America,Maryland,College Park,,"missing five blank seconds at start of first file; all files have hiss; wow affects most of third file; end cut off of third file; note from technician: ""Most of side 1 is mono, then becomes stereo. Side 2 is two mono tracks. Master file was kept as stereo for the first side. For the Access and Web I cut down to mono."" ",yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=3d151e5bed04464,Traver 3,scpa-024139-0001,0:43:45,0:43:45,George Blood Audio Video,,12/11/13,Studer A810,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,mono,,,,,,,,,,,,,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=cd0e06ab24124eb,Traver 3,scpa-024139-0002,0:40:57,0:40:57,George Blood Audio Video,,12/11/13,Studer A810,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,mono,,,,,,,,,,,,,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=0d4451494fdc4d4,Traver 3,scpa-024139-0003,0:32:17,0:32:17,George Blood Audio Video,,12/11/13,Studer A810,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,mono,,,,,,,,,,,,,,,,
UMDM,,,,,Traver 5,,,,,,,,,,"Choral performance, undated",Unknown,,,,,,,"Choral performance, undated.",Music & Performing Arts,,undated,,1901-2000,,13-56-Traver,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)",,"University of Maryland; Performing Arts, Music",,,,,sound recording,analog,instrumental and vocal music,"1/4"" open reel tape","7""",Choral Performance,,,,,North America,United States of America,Maryland,College Park,,hiss,yes,,Special Collections in Performing Arts,,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=6729cc403e2b47e,Traver 5,scpa-024141-0001,0:34:53,0:34:53,George Blood Audio Video,,12/11/13,Ampex ATR104,Prism Sound,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,mono,,,,,,,,,,,,,,,,
