Item Control Number,File Name,Title,Alternate Title,Contributor,Provider/Publisher,Description/Summary,Frequency,Recording Notes,Digitization Notes,Collection,Accession Number,Box Number,Repository,Copyright Holder,Rights,Subjects,Genre,DateAnalogCreated,Original BroadcastDate,SizeReel,TypeofMaterial,TotalRunTimeMasters,InchesperSecond,Track Format,MediaType/Form,Mono/Stereo,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,Digitized by MMC,Digitized by DCMR,QC,NOTE TO HENRY,Finished,TotalRunTimeDerivatives,,,UMDM,UMAM,SharestreamURLS
WMUC-Reel-111,bcast-018905-0001,"The Electric Radio: Classical Music in Rock, February 12, 1972","The Electric Radio: Classical Music in Rock, 2/12/72"," Kernis, Jay; Cole, Greg","WMUC (Radio station : College Park, Md.)","The Electric Radio: Classical Music in Rock, February 12, 1972. A look into how classical music has influenced and been involved in the rock genre. Open cue: ""The Time has come the walrus said"" Closing cue: ""at College Park."" ",AM,,Digitized through Mac Pro soundcard,WMUC Archives,2011-084,1,University Archives,"University of Maryland (College Park, Md.)",,,,,2/12/72,"10""","1/4"" open reel tape",0:58:51,7.5,Half,instrumental music,stereo,North America,United States,Maryland,College Park,,N,Y,Y,,Y,0:58:51,,,,,
WMUC-Reel-112,bcast-018906-0001,"WMUC News: Election Coverage, 1984",WMUC News Election Night 1974,,"WMUC (Radio station : College Park, Md.)",WMUC coverage of the SGA elections of 1984. Date is determined because news segments mention the Reagan Administration.,AM,First five seconds of tape was recorded at 15 IPS. Remainder is recorded at 7.5ips. ,Digitized through Mac Pro soundcard (HB),WMUC Archives,2011-084,1,University Archives,"University of Maryland (College Park, Md.)",,,,,1984-00-00,"10""","1/4"" open reel tape",1:07:37,7.5,Half,spoken word,stereo,North America,United States,Maryland,College Park,,N,Y,Y,,Y,1:07:37,,,,,
WMUC-Reel-113,bcast-018861-0001,"Commercial: Pool 9 Tournament promo, undated","Labeled as: ""Lauren Jones interview with Great Change, 10/17/84?""","Hammerski, Tom","WMUC (Radio station : College Park, Md.)","Labeled as: ""Lauren Jones interview with Great Change, 10/17/84?"" Content on tape does not record match title. Contains a promo for a pool stick giveaway. The rest of the tape is blank.",FM,Only first 1 minute of tape has audio on it. The rest of the tape is silent and has never been recorded on. ,Digitized through Mac Pro soundcard (HB). Cropped blank tape from digital file.,WMUC Archives,2011-084,1,University Archives,"University of Maryland (College Park, Md.)",,,,,,"10""","1/4"" open reel tape",0:01:12,,,spoken word,unknown,North America,United States,Maryland,College Park,,N,Y,Y,,Y,0:01:12,,,umd:166877,umd:166886,
WMUC-Reel-114,bcast-018907-0001,"WMUC News: Election Night, 1984",WMUC News Election Night 1974,,"WMUC (Radio station : College Park, Md.)","WMUC coverage of the SGA run of elections,  1984.",AM,,Digitized through Mac Pro soundcard (HB),WMUC Archives,2011-084,1,University Archives,"University of Maryland (College Park, Md.)",,,,,1984-00-00,"10""","1/4"" open reel tape",0:18:00,15,Half,spoken word,stereo,North America,United States,Maryland,College Park,,N,Y,Y,,Y,0:18:00,,,,,
WMUC-Reel-115,bcast-018908-0001,"Football: University of Maryland vs. Celmson, undated","Maryland Football versus Syracuse, 3rd and 4th quarter MD vs Clemson, October 6, 1973","Hammerski, Tom; Kern, Glenn","WMUC (Radio station : College Park, Md.)","Coverage of Maryland football game, MD vs Clemson, undated. End of 3rd and 4th quarter only. Talk about football stats and Donahue. Insert in box. ",AM,Recording is half track but only right channel has audio. (HB),Digitized through Mac Pro soundcard (HB),WMUC Archives,2011-084,1,University Archives,"University of Maryland (College Park, Md.)",,,,,,"10""","1/4"" open reel tape",0:51:10,7.5,Half,spoken word,mono,North America,United States,Maryland,College Park,,N,Y,Y,,Y,0:51:10,,,,,
WMUC-Reel-116,bcast-018862-0001; bcast-018862-0002,"Timepiece; Football: University of Maryland vs. Wake Forest, undated","Sports MD vs Villanova, 9/29/73","Hammerski, Tom; Nukum[sic], Doris ","WMUC (Radio station : College Park, Md.)","Labeled as: ""Maryland Football versus Villanova, September 29, 1973."" Actually, University of Maryland vs. Wake Forest, undated. Insert for game in box. Also contains a program called ""Timepiece,"" and ads about the opening of the Kennedy Center.",AM,"Left channel, bcast-018862-0001 contains  ""Timepiece."" Right channel, bcast-018862-0002 is the football game described in description. ",Digitized through Mac Pro soundcard (HB); bcast-018862-0001 is the Left channel and bcast-018862-0002 is the Right channel. 018862-0001 has the first 16 minutes removed in the derivative as it is silent at the start of the tape on the left channel,WMUC Archives,2011-084,1,University Archives,"University of Maryland (College Park, Md.)",,,,,,"10""","1/4"" open reel tape",bcast-018862-0001: 00:30:41; bcast-018862-0002: 00:41:54,7.5,Half,spoken word,unknown,North America,United States,Maryland,College Park,,N,Y,Y,,Y,bcast-018862-0001: 00:12:45; bcast-018862-0002: 00:41:54,,,umd:166898,umd:166902; umd:166905,
WMUC-Reel-117,bcast-018863-0001,"Music: Will Oldham, May 22, 1996","Will Oldham/Palace Music, 5/22/96","Oldham, Will","WMUC (Radio station : College Park, Md.)","Labeled as: ""Will Oldham/Palace Music, May 22, 1996."" No interview found on tape. Recording is folk music with vocals.",FM,The first second is recorded at 7.5 ips. The remainder is recorded at 15ips. ,Digitized through Mac Pro soundcard (HB); Edited out ghost of previous recording in derivatives.,WMUC Archives,2011-084,1,University Archives,"University of Maryland (College Park, Md.)",,,,,5/22/96,"10""","1/4"" open reel tape",0:15:42,15,Full,instrumental and vocal music,mono,North America,United States,Maryland,College Park,,N,Y,Y,,Y,0:15:20,,,,,
WMUC-Reel-118,bcast-018864-0001; bcast-018864-0002; bcast-018864-0003; ,"America On the Road, June 28, 1996","Sonora Pine, Touch & Go Records, 6/28/96",,"WMUC (Radio station : College Park, Md.)","Labeled as: ""Sonora Pine, Touch & Go Records, June 28, 1996."" Two tracks listed: ""Goldmund and Snows cut snapshot."" Actually contains ""America on the Road"" and Interview not found. ",FM,"bcast-018864-0001 = a rock band recorded at 15 ips; bcast-018864-0002 = same rock band recorded at 30 ips. bcast-018864-0003 is America On the Road, recorded at 30 ips in the other reverse direction.",Had to be  digitized 3 times. Has 3 masters but 2 derivatives when edited together because the tape was recorded at two different speeds. bcast-018864-0001.wav and bcast-018864-0002.wav have been edited together to produce bcast-018864-0001-cd.wav and bcast-018864-0001.mp3; bcast-018864-0003.wav is the source of bcast-018864-0002-cd.wav and bcast-018864-0002.mp3; Digitized through Mac Pro soundcard (HB). ,WMUC Archives,2011-084,1,University Archives,"University of Maryland (College Park, Md.)",,,,,6/28/96,"10""","1/4"" open reel tape",bcast-018864-0001: 00:23:20; bcast-018864-0002: 00:46:04; bcast-018864-0003: 00:46:10 ,15,Half,instrumental music,unknown,North America,United States,Maryland,College Park,,N,Y,Y,,Y,bcast-018864-0001: 00:22:29; bcast-018864-0002: 00:05:32,,,,,
WMUC-Reel-119,bcast-018865-0001; bcast-018865-0002,"America On the Road, June 28, 1996","Boy Racer, Zero Hour Records, 6/28/96",,"WMUC (Radio station : College Park, Md.)","""America On the Road"" program on Side A. On Side B, Boy Racer of Zero Hour Records on WMUC, June 28, 1996.",FM,bcast-018865-0001 is America on the Road;  bcast-018865-0002 is Boy Racer playing live.,Had to be digitized twice because the content on the tape was recorded in two different directions; Digitized through Mac Pro soundcard (HB). ,WMUC Archives,2011-084,1,University Archives,"University of Maryland (College Park, Md.)",,,,,6/28/96,"10""","1/4"" open reel tape",bcast-018865-0001: 00:44:14;  bcast-018865-0002: 00:44:16,7.5,Full,instrumental and vocal music,mono,North America,United States,Maryland,College Park,,N,Y,Y,,Y,bcast-018865-0001: 00:12:59;  bcast-018865-0002: 00:30:41,,,,,
WMUC-Reel-120,bcast-018866-0001,"Variety: ""You Must Remember This,"" March 18, 1976","""You Must Remember This"", March 18, 1976 (part 1?)",,"WMUC (Radio station : College Park, Md.)","""You Must Remember This,"" 1PM- 2PM, March 18, 1976.",AM,Tape tails out- Rewind for Playback. Leave tape tails out after play. DO NOT ERASE- LIBRARY MASTER. ,Digitized through Mac Pro soundcard (HB),WMUC Archives,2011-084,1,University Archives,"University of Maryland (College Park, Md.)",,,,,3/18/76,"10""","1/4"" open reel tape",1:01:00,7.5,Full,spoken word,mono,North America,United States,Maryland,College Park,,N,Y,Y,,Y,1:01:00,,,,,
