XML Type,Item Control Number,File Name,TotalRunTimeMasters,TotalRunTimeDerivatives,Digitization Notes,Recording Notes,Track Format,Mono/Stereo,DigitizedByDept,DigitizedByPers,DateDigitized,Title,Alternate Title,Contributor,Provider/Publisher,Description/Summary,Frequency,Collection,Accession Number,Box Number,Repository,Copyright Holder,CreatedDateCertainty,DateAnalogCreated,BroadcastDateCertainty,OriginalBroadcastDate,SizeReel,TypeofMaterial,InchesperSecond,MediaType/Form,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,PlaybackDevice,AnalogInterface,DigitizationSoftware,QA,NOTE TO HENRY,Finished,UMDM,UMAM,ShareStreamURLs
UMDM,WMUC-Reel-111,,,,,,,,,,,"The Electric Radio: Classical Music in Rock, February 12, 1972","The Electric Radio: Classical Music in Rock, 2/12/72","Kernis, Jay; Cole, Greg","WMUC (Radio station : College Park, Md.)","The Electric Radio: Classical Music in Rock. A look into how classical music has influenced and been involved in the rock genre. Open cue: ""The Time has come the walrus said‰Û_"" Closing cue: ""‰Û_at College Park."" University of Maryland. February 12, 1972.",AM,WMUC Archives,2011-084,1,University Archives,"University of Maryland (College Park, Md.)",,2/12/72,,2/12/72,"10.5""","1/4"" open reel tape",7.5,instrumental music,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,
UMAM,WMUC-Reel-111,bcast-018905-0001,0:58:51,0:58:51,Digitized through Mac Pro soundcard,,Half,stereo,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=9b0b11165d4041d
UMDM,WMUC-Reel-112,,,,,,,,,,,"WMUC News: Election Coverage, 1984",WMUC News Election Night 1974 [sic],,"WMUC (Radio station : College Park, Md.)",WMUC coverage of the SGA elections of 1984. Date is determined because news segments mention the Reagan Administration. University of Maryland. ,AM,WMUC Archives,2011-084,1,University Archives,"University of Maryland (College Park, Md.)",circa,1984,circa,1984,"10.5""","1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,
UMAM,WMUC-Reel-112,bcast-018906-0001,1:07:37,1:07:37,Digitized through Mac Pro soundcard (HB),First five seconds of tape was recorded at 15 IPS. Remainder is recorded at 7.5ips. ,Half,stereo,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=ba57f92f120348c
UMDM,WMUC-Reel-113,,,,,,,,,,,"Commercial: Pool 9 Tournament promo, undated","Labeled as: ""Lauren Jones interview with Great Change, 10/17/84?""","Hammerski, Tom","WMUC (Radio station : College Park, Md.)","Labeled as: ""Lauren Jones interview with Great Change, 10/17/84?"" Content on tape does not record match title. Contains a promo for a pool stick giveaway and the rest of the tape is blank. Undated.",FM,WMUC Archives,2011-084,1,University Archives,"University of Maryland (College Park, Md.)",,undated,,undated,"10.5""","1/4"" open reel tape",,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,
UMAM,WMUC-Reel-113,bcast-018861-0001,0:01:12,0:01:12,Digitized through Mac Pro soundcard (HB). Cropped blank tape from digital file.,Only first 1 minute of tape has audio on it. The rest of the tape is silent and has never been recorded on. ,,unknown,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=2992314bf8d54ce
UMDM,WMUC-Reel-114,,,,,,,,,,,"WMUC News: Election Night, 1984",WMUC News Election Night 1974,,"WMUC (Radio station : College Park, Md.)","WMUC coverage of the SGA run of elections, 1984. University of Maryland. ",AM,WMUC Archives,2011-084,1,University Archives,"University of Maryland (College Park, Md.)",circa,1984,circa,1984,"10.5""","1/4"" open reel tape",15,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,
UMAM,WMUC-Reel-114,bcast-018907-0001,0:18:00,0:18:00,Digitized through Mac Pro soundcard (HB),,Half,stereo,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=d8fc10e6ded0402
UMDM,WMUC-Reel-115,,,,,,,,,,,"Football: University of Maryland vs. Celmson, undated","Maryland Football versus Syracuse, 3rd and 4th quarter MD vs Clemson, October 6, 1973","Hammerski, Tom; Kern, Glenn","WMUC (Radio station : College Park, Md.)","Coverage of University of Maryland football game, MD vs Clemson. End of 3rd and 4th quarter only. Talk about football stats and Donahue. Insert in box. Undated.",AM,WMUC Archives,2011-084,1,University Archives,"University of Maryland (College Park, Md.)",,undated,,undated,"10.5""","1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,
UMAM,WMUC-Reel-115,bcast-018908-0001,0:51:10,0:51:10,Digitized through Mac Pro soundcard (HB),Recording is half track but only right channel has audio. (HB),Half,mono,DCMR,"Borchers, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=9a20c1ebbc6b49c
UMDM,WMUC-Reel-116,,,,,,,,,,,"Timepiece; football: University of Maryland vs. Wake Forest, undated","Sports MD vs Villanova, 9/29/73","Hammerski, Tom; Nukum[sic], Doris ","WMUC (Radio station : College Park, Md.)","Labeled as: ""Maryland Football versus Villanova, September 29, 1973."" Actually, University of Maryland vs. Wake Forest. Insert for game in box. Also contains a program called ""Timepiece,"" and ads about the opening of the Kennedy Center. Undated.",AM,WMUC Archives,2011-084,1,University Archives,"University of Maryland (College Park, Md.)",,undated,,undated,"10.5""","1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,"ReVox C70 ""George""",RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,
