XML Type,Item Control Number,File Name,TotalRunTimeMasters,TotalRunTimeDerivatives,Digitization Notes,Recording Notes,Track Format,Mono/Stereo,DigitizedByDept,DigitizedByPers,DateDigitized,Title,Alternate Title,Contributor,Provider/Publisher,Description/Summary,Frequency,Collection,Accession Number,Box Number,Repository,Copyright Holder,Rights,Subjects,Genre,CreatedDateCertainty,DateAnalogCreated,Original BroadcastDate,SizeReel,TypeofMaterial,InchesperSecond,MediaType/Form,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,PlaybackDevice,AnalogInterface,DigitizationSoftware,QA,NOTE TO HENRY,Finished,UMDM,UMAM,ShareStreamURLs
UMDM,WMUC-Reel-149,,,,,,,,,,,"Women's Basketball: University of Immaculata, 1978",Univ of MD women's B Ball 1978 VS Immaculata Eastern Regionals with Margelis-Young,"Margelis, George; Young, Bob","WMUC (Radio station : College Park, Md.)","Coverage of the Eastern regionals women's basketball game between the University of Maryland and Immaculata, 1978.",AM,WMUC Archives,2011-084,3,University Archives,"University of Maryland (College Park, Md.)",,,,,1978-05-31,1978-05-31,"10.5""","1/4"" open reel tape",7.5,spoken word,North America,United States of America,Pennsylvania,Westchester,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,
UMAM,WMUC-Reel-149,bcast-019153-0001,01:36:21,01:24:46,Audio only found on left channel of tape; audio starts louder (average RMS = -15 dB) and becomes quieter at 00:23:25 (average RMS = -32 dB); at 01:22:55 seven minutes of silence was reduced to 30 seconds; at 01:23:50 five minutes and 20 seconds of silence was reduced to 30 seconds,Recording is incomplete and ends before the game finishes.,Half,mono,DCMR,"Borchers, Henry",2013-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=31a5cc08e6b7475
UMDM,WMUC-Reel-150,,,,,,,,,,,"Drama: Show of the Week, ""Annie Get Your Gun,"" undated", ,,"WMUC (Radio station : College Park, Md.)","Show of the Week ""Annie Get Your Gun"", two hour segment, undated.",,WMUC Archives,2011-084,3,University Archives,"University of Maryland (College Park, Md.)",,,,,undated,undated,,"1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,
UMAM,WMUC-Reel-150,bcast-019135-0001,00:52:58,00:52:58,Contains 2 mono audio tracks going both directions; hum affects portions of live theatre recordings,,Half,mono,DCMR,"Borchers, Henry",2013-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=16d0350356b8422
UMAM,WMUC-Reel-150,bcast-019135-0002,00:56:34,00:56:34,Contains 2 mono audio tracks going both directions; hum affects portions of live theatre recordings,,Half,mono,DCMR,"Borchers, Henry",2013-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=6902260fcb874a7
UMDM,WMUC-Reel-151,,,,,,,,,,,"University of Maryland vs. Navy lacrosse game, News Around the World, News from American FM Radio Network, unidentified pop music news edits, pop music, undated","UMD VS Navy lacrosse game, with Dave Wilt and Brian Moore","Wilt, Dave; Moore, Brian","WMUC (Radio station : College Park, Md.)","University of Maryland vs. Navy lacrosse game with Dave Wilt and Brian Moore, as well as news programs and pop music. Undated.",,WMUC Archives,2011-084,3,University Archives,"University of Maryland (College Park, Md.)",,,,,undated,undated,,"1/4"" open reel tape",7.5,spoken word,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,
UMAM,WMUC-Reel-151,bcast-019129-0001,00:59:01,00:50:21,Removed 00:08:44 of silence at 27:40; Removed .3 seconds of 5k tone at 00:28:07; Removed 1.8 seconds of 1k tone at 00:32:50; Removed .3 seconds of 5k tone at 00:32:56,,Half,mono,DCMR,"Borchers, Henry",2013-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=c3c3a701ee5849c
UMDM,WMUC-Reel-152,,,,,,,,,,,"Music: Boy Racer and the Ropers live, October 23, 1994; Classical Music Program featuring BBC Symphony Orchestra, undated","Boy Racer and the Ropers, 10/23/94",,"WMUC (Radio station : College Park, Md.)","Interview and performance by Boy Racer and the Roper on WMUC, University of Maryland. BBC Symphony Orchestra plays overture for Idomeneo and two other pieces. October 23, 1994 and undated.",FM,WMUC Archives,2011-084,3,University Archives,"University of Maryland (College Park, Md.)",,,,,1994-10-23,1994-10-23,"10.5""","1/4"" open reel tape",15,vocal music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,
UMAM,WMUC-Reel-152,bcast-019079-0001,00:33:00,00:28:42,Removed strange noise at 00:15:04 on bcast-019079-0001; audio from 00:15:13 to 00:19:58 on bcast-019079-0001 is mono from the right channel because the left channel has another recording on it going in the other direction; do not play on mono speakers,This reel is messed up on the Boyracer part! Strange high-speed orchestral sounds are present! ,,stereo,DCMR,"Borchers, Henry",2013-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=b966f53017564df
UMAM,WMUC-Reel-152,bcast-019079-0002,01:05:50,00:15:53,Audio from 00:04:48 to the end on bcast-019079-0002 is mono from the right channel because the left channel has another recording on it going in the other direction; removed tones from 00:01:28 on bcast-019079-0002; contains orchestra music going the other direction at the end of reel playing at 7.5 ips; do not play on mono speakers,This reel is messed up on the Boyracer part! Strange high-speed orchestral sounds are present! ,,stereo,DCMR,"Borchers, Henry",2013-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=3000f5b45202472
