XML Type,Item Control Number,File Name,TotalRunTimeMasters,TotalRunTimeDerivatives,Digitization Notes,Recording Notes,Track Format,Mono/Stereo,DigitizedByDept,DigitizedByPers,DateDigitized,Title,Alternate Title,Contributor,Provider/Publisher,Description/Summary,Frequency,Collection,Accession Number,Box Number,Repository,Copyright Holder,Rights,Subjects,Genre,CreatedDateCertainty,DateAnalogCreated,OriginalBroadcastDate,SizeReel,TypeofMaterial,InchesperSecond,MediaType/Form,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,PlaybackDevice,AnalogInterface,DigitizationSoftware,QA,NOTE TO HENRY,Finished,UMDM,UMAM,ShareStreamURLs,
UMDM,WMUC-Reel-183,,,,,,,,,,,"Lucy Brown, 1989",,,"WMUC (Radio station : College Park, Md.)","Musical performance by the band Lucy Brown contains the songs Super Stupid, Wake Up, Let Me In, Don't Know How Long I'm Going to Be Here, Roots, and Lucy Brown. John Davis note indicates:  ""notable punk/hard rock D.C. band of late 80s and early 90s."" University of Maryland, 1989.",,WMUC Archives,2011-084,5,University Archives,"University of Maryland (College Park, Md.)",,,,circa,1989,1989,7,"1/4"" open reel tape",7.5,vocal music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,WMUC-Reel-183,bcast-019939-0001,00:29:33,00:29:05,"Removed tones from the master at 00:00:07 - 00:00:19; 00:00:27 - 00:00:29, and 00:00:32 - 00:00:34 ",,,stereo,DCMR,"Borchers, Henry",2013-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=82d38411d5b6467,
UMDM,WMUC-Reel-184,,,,,,,,,,,"Edsel at WMUC-FM, 12/10/89","Edsel performing at WMUC, 12/10/89",,"WMUC (Radio station : College Park, Md.)","Edsel, notable D.C. band of the late 80's and 90's (reunited in 2012), performing live at WMUC in 1989.",,WMUC Archives,2011-084,5,University Archives,"University of Maryland (College Park, Md.)",,,,,1989-12-10,1989-12-10,7,"1/4"" open reel tape",7.5,vocal music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,WMUC-Reel-184,bcast-019963-0001,00:30:44,00:29:03,Vocal mic isn't very loud and is hard to hear in recording; bass guitar is loud for first 36 seconds; end of recording is cut off,,,stereo,DCMR,"Borchers, Henry",2013-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=2c6daa1737e74be,
UMDM,WMUC-Reel-185,,,,,,,,,,,"Monorchid, Third Rail Radio Live #29, 1997","Monorchid, Third Rail Radio #29, 1997, ADAT",,"WMUC (Radio station : College Park, Md.)","Monorchid, Third Rail Radio #29, WMUC, University of Maryland, 1997.",,WMUC Archives,2011-084,5,University Archives,"University of Maryland (College Park, Md.)",,,,circa,1997,1997,,ADAT,,instrumental music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,WMUC-Reel-185,bcast-019551-0001,00:41:45,00:29:37,"48000 hz/24 bits; the ADAT contained stems of the following content which can be found in the masters, bcast-019551-0001 = kick drum, bcast-019551-0002 = snare drum, bcast-019551-0003 = hi-hats, bcast-019551-0004 = drum overhead bcast-019551-0005  = bass guitar, bcast-019551-0006 = guitar 1, bcast-019551-0007 = guitar 2, bcast-019551-0008 = vocals; bcast-019551-0009 is the submaster produced for derivatives; end of recording contains 00:11:14 of dead air which was removed in the submaster & derivatives but is found on the masters; vocal track boosted 10 dB to increase intelligibility; on Wells drive",,,mono,DCMR,"Borchers, Henry",2013-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=6f83ddc8fac44c8,
UMDM,WMUC-Reel-186,,,,,,,,,,,"The Dusters, Third Rail Radio Live #21, 3/9/97","The Dusters, Third Rail Radio #21, 3/9/97, ADAT",,"WMUC (Radio station : College Park, Md.)","The Dusters, Third Rail Radio #21, WMUC, University of Maryland, March 9, 1997.",,WMUC Archives,2011-084,5,University Archives,"University of Maryland (College Park, Md.)",,,,,1997-03-09,1997-03-09,,ADAT,,vocal music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,WMUC-Reel-186,bcast-019702-0001,00:43:04,00:37:28,"48000 hz/24 bits; the ADAT contained stems of the following content which can be found in the masters, bcast-019702-0001 = kick drum, bcast-019702-0002 = snare and high hats, bcast-019702-0003 = bass, bcast-019702-0004 = guitar, bcast-019702-0005  = empty, bcast-019702-0006 = guitar 2, bcast-019702-0007 = empty, bcast-019702-0008 = vocals; bcast-019702-0009 is the submaster produced for derivatives; beginning of recording contains dead air with live mics which was removed for the derivatives. The start of the derivative is 00:02:16 on the master; on Wells drive",,,mono,DCMR,"Borchers, Henry; Cartier, Eric",2013-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=405092a8addf4c0,
UMDM,WMUC-Reel-187,,,,,,,,,,,"Kerosene, Third Rail Radio Live #25, 4/7/97, ADAT","Kerosene 454, Third Rail Radio #25, 4/7/97, ADAT",,"WMUC (Radio station : College Park, Md.)","Kerosene 454, Third Rail Radio #25, WMUC, University of Maryland, April 7, 1997.",,WMUC Archives,2011-084,5,University Archives,"University of Maryland (College Park, Md.)",,,,,1997-04-07,1997-04-07,,ADAT,,vocal music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,,
UMAM,WMUC-Reel-187,bcast-019377-0001,00:48:29,00:29:24,"48000 hz/24 bits; the ADAT contained stems of the following content which can be found in the masters, bcast-019377-0001 = kick drum, bcast-019377-0002 = Snare drum, bcast-019377-0003 = drum overhead, bcast-019377-0004 = bass, bcast-019377-0005  = guitar, bcast-019377-0006 vocals, bcast-019377-0007 = room, bcast-019377-0008 = room and vocals; bcast-019377-0009 is the submaster produced for derivatives; on Wells drive",,,mono,DCMR,"Borchers, Henry; Cartier, Eric",2013-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=96697c9aa81142a,
