XML Type,Item Control Number,File Name,TotalRunTimeMasters,TotalRunTimeDerivatives,Digitization Notes,Recording Notes,Track Format,Mono/Stereo,DigitizedByDept,DigitizedByPers,DateDigitized,Title,Alternate Title,Contributor,Provider/Publisher,Description/Summary,Frequency,Collection,Accession Number,Box Number,Repository,Copyright Holder,Rights,Subjects,Genre,CreatedDateCertainty,DateAnalogCreated,Original BroadcastDate,SizeReel,TypeofMaterial,MediaType/Form,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,PlaybackDevice,AnalogInterface,DigitizationSoftware,QA,NOTE TO HENRY,Finished,UMDM,UMAM,ShareStreamURLs
UMDM,WMUC-Reel-205,,,,,,,,,,,"Candy Machine, Third Rail Radio #7, live at WMUC, University of Maryland, October 13, 1996","Candy Machine, Third Rail Radio #7 live at WMUC, 10/13/96, ADAT",,"WMUC (Radio station : College Park, Md.)","Candy Machine, Third Rail Radio #7, live at WMUC, University of Maryland, October 13, 1996.",,WMUC Archives,2011-084,17,University Archives,"University of Maryland (College Park, Md.)",,,,,1996-10-13,1996-10-13,,ADAT,instrumental and vocal music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Yes,,Yes,,,
UMAM,WMUC-Reel-205,bcast-020789-0001,00:41:20,00:39:08,"48000 hz/24 bit; the ADAT contains stems of the following content which can be found in the masters:  bcast-020789-0001 = empty, bcast-020789-0002 = kick drum, bcast-020789-0003 = empty, bcast-020789-0004 = bass guitar, bcast-020789-0005 = empty, bcast-020789-0006 = drums, bcast-020789-0007 = vocal/sax/trumpet, bcast-020789-0008 = guitar, bcast-020789-0009 is the production master produced for the derivatives; on Wells drive",,,mono,DCMR,"Borchers, Henry",2013-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,"Alesis ADAT ""Blackface"" ""Bud's ADAT""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=67155e9d9b014c7
UMDM,WMUC-Reel-206,,,,,,,,,,,"Shoutbus, live at WMUC, University of Maryland, March 30, 1997","Shoutbus, 3/30/97, VHS",,"WMUC (Radio station : College Park, Md.)","Shoutbus, live at WMUC, University of Maryland, March 30, 1997.",,WMUC Archives,2011-084,17,University Archives,"University of Maryland (College Park, Md.)",,,,,1997-03-30,1997-03-30,,ADAT,instrumental and vocal music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Yes,,Yes,,,
UMAM,WMUC-Reel-206,bcast-020813-0001,00:41:30,00:24:40,"48000 hz/24 bit; the ADAT contains stems of the following content which can be found in the masters:  bcast-020813-0001 = kick drum, bcast-020813-0002 = snare drum, bcast-020813-0003 = drums 1, bcast-020813-0004 =drums 2, bcast-020813-0005 = bass guitar, bcast-020813-0006 = guitar, bcast-020813-0007 = vocal, bcast-020813-0008 = room, bcast-020813-0009 is the production master produced for the derivatives; on Wells drive",,,mono,DCMR,"Borchers, Henry",2013-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,"Alesis ADAT ""Blackface"" ""Bud's ADAT""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=c1bbbc94e31948e
UMDM,WMUC-Reel-207,,,,,,,,,,,"Scrawl, Third Rail Radio #22, live at WMUC, University of Maryland, undated","Scrawl, Third Rail Radio #22 live at WMUC, ADAT",,"WMUC (Radio station : College Park, Md.)","Scrawl, Third Rail Radio #22, live at WMUC, University of Maryland, undated.",,WMUC Archives,2011-084,17,University Archives,"University of Maryland (College Park, Md.)",,,,circa,1997,1997,,ADAT,instrumental and vocal music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Yes,,Yes,,,
UMAM,WMUC-Reel-207,bcast-020861-0001,00:13:21,00:12:48,"48000 hz/24 bit; the ADAT contains stems of the following content which can be found in the masters:  bcast-020861-0001 = room mic, bcast-020861-0002 = guitar 1, bcast-020861-0003 = empty, bcast-020861-0004 =vocal 1, bcast-020861-0005 = vocal 2, bcast-020861-0006 = vocal 3, bcast-020861-0007 = empty, bcast-020861-0008 = guitar 2,  bcast-020861-0009 is the production master produced for the derivatives; on Wells drive",,,mono,DCMR,"Borchers, Henry",2013-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,"Alesis ADAT ""Blackface"" ""Bud's ADAT""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=c897f69be1914bf
UMDM,WMUC-Reel-208,,,,,,,,,,,"Stigmatics, Third Rail Radio, live at WMUC, University of Maryland, November 9, 1997","Stigmatics, Third Rail Radio live at WMUC, 11/9/97, VHS",,"WMUC (Radio station : College Park, Md.)","Stigmatics, Third Rail Radio, live at WMUC, University of Maryland, November 9, 1997.",,WMUC Archives,2011-084,17,University Archives,"University of Maryland (College Park, Md.)",,,,,1997-11-09,1997-11-09,,ADAT,instrumental and vocal music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Yes,,Yes,,,
UMAM,WMUC-Reel-208,bcast-020862-00001,00:43:19,00:19:58,"48000 hz/24 bit; the ADAT contains stems of the following content which can be found in the masters:  bcast-020862-0001 = kick drum, bcast-020862-0002 = snare drum, bcast-020862-0003 = hi-hats, bcast-020862-0004 = toms, bcast-020862-0005 = bass guitar, bcast-020862-0006 = guitar 1, bcast-020862-0007 = guitar 2, bcast-020862-0008 = room,  bcast-020862-0009 is the production master produced for the derivatives; on Wells drive",,,mono,DCMR,"Borchers, Henry",2013-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,"Alesis ADAT ""Blackface"" ""Bud's ADAT""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=e9a3b82148e045b
UMDM,WMUC-Reel-209,,,,,,,,,,,"Windy and Carl, August 9, 1996, and Hurricane Lamps, December 1, 1996, Third Rail Radio #12, live at WMUC, University of Maryland.","Windy & Carl, 8/9/96 and Hurricane Lamps, 12/1/96, Third Rail Radio #12, ADAT",,"WMUC (Radio station : College Park, Md.)","Windy and Carl, and Hurricane Lamps, Third Rail Radio #12, WMUC, University of Maryland, August 9, 1996 and December 1, 1996.",,WMUC Archives,2011-084,17,University Archives,"University of Maryland (College Park, Md.)",,,,,1996-08-09; 1996-12-01,1996-08-09; 1996-12-01,,ADAT,instrumental and vocal music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Yes. Digital audio dropout at 00:03:38. Second set begins mid-song.,,Yes,,,
UMAM,WMUC-Reel-209,bcast-020864-0001,00:43:38,00:41:35,"48000 hz/24 bit; the ADAT contains stems of two performances and the following content can be found in the masters:  bcast-020864-0001 = 00:00:00 - 00:19:46 = guitar and bass guitar, 00:20:41 -00:43:38 = drums, bcast-020864-0002 = 00:00:00 - 00:19:46 = guitar, 00:20:41 - 00:43:38 = kick drum, bcast-020864-0003 = 00:00:00 - 00:19:46 = guitar, 00:20:41 - 00:43:38 = bass guitar , bcast-020864-0004 = 00:00:00 - 00:19:46 = guitar , 00:20:41 - 00:43:38 = guitar, bcast-020864-0005 = 00:00:00 - 00:19:46 = guitar, 00:20:41 - 00:43:38 = room, bcast-020864-0006 = 00:00:00 - 00:19:46 = vocals, 00:20:41 - 00:43:38 = empty, bcast-020864-0007 = 00:00:00 - 00:19:46 = guitar, 00:20:41 - 00:43:38 = empty, bcast-020864-0008 = 00:00:00 - 00:19:46 = guitar, 00:20:41 - 00:43:38 = empty,  bcast-020864-0009 is the production master produced for the derivatives; track 6 was boosted +10 db in mixdown for production master; on Wells drive",,,mono,,"Borchers, Henry",2013-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,"Alesis ADAT ""Blackface"" ""Bud's ADAT""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=5c2c5b885b0f46e
UMDM,WMUC-Reel-210,,,,,,,,,,,"Jennhitt, Third Rail Radio #11, November 24, 1996, and Edison Shine, live at WMUC, University of Maryland, undated","Jennhitt, Third Rail Radio #11 live at WMUC, 11/24/96, ADAT",,"WMUC (Radio station : College Park, Md.)","Jennhitt, Third Rail Radio #11, November 24, 1996, and Edison Shine, live at WMUC, University of Maryland, undated.",,WMUC Archives,2011-084,17,University Archives,"University of Maryland (College Park, Md.)",,,,,1996-11-24,1996-11-24,,ADAT,instrumental and vocal music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Yes,,Yes,,,
UMAM,WMUC-Reel-210,bcast-020959-0001,00:30:01,00:27:51,"48000 hz/24 bit; the ADAT contains stems of two performances and the following content can be found in the masters:  bcast-020959-0001 = 00:00:00 - 00:28:20 = empty, 00:28:20 - 00:30:01 = drums, bcast-020959-0002 = 00:00:00 - 00:28:20 = snare drum, 00:28:20 - 00:30:01 = snare drum, bcast-020959-0003 = 00:00:00 - 00:28:20 = kick drum, 00:28:20 - 00:30:01 = kick drum, bcast-020959-0004 = 00:00:00 - 00:28:20 = empty, 00:28:20 - 00:30:01 = guitar, bcast-020959-0005 = 00:00:00 - 00:28:20 = empty, 00:28:20 - 00:30:01 = mix, bcast-020959-0006 = 00:00:00 - 00:28:20 = guitar, 00:28:20 - 00:30:01 = guitar, bcast-020959-0007 = 00:00:00 - 00:28:20 = bass, 00:28:20 - 00:30:01 = bass, bcast-020959-0008 = 00:00:00 - 00:28:20 = vocal, 00:28:20 - 00:30:01 = vocal,  bcast-020959-0009 is the production master produced for the derivatives; fragment of another band performance by Edison Shine begins at 00:26:58 and continues through end; on Wells drive",,,mono,,"Borchers, Henry",2013-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,"Alesis ADAT ""Blackface"" ""Bud's ADAT""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=33e2086b9f0f4be
UMDM,WMUC-Reel-212,,,,,,,,,,,"Viva Satellite, live at WMUC, University of Maryland, October 20, 1997","Viva Satellite, 10/20/97, VHS",,"WMUC (Radio station : College Park, Md.)","Viva Satellite, live at WMUC, University of Maryland, October 20, 1997.",,WMUC Archives,2011-084,17,University Archives,"University of Maryland (College Park, Md.)",,,,,1997-10-20,1997-10-20,,ADAT,instrumental and vocal music,North America,United States of America,Maryland,College Park,,,RME Fireface UCX,Adobe Audition CS6,Yes. Multiple native digital audio dropouts between 00:37:22 - 00:42:33 on track 2. Sound level increases at 00:40:02.,,,,,
UMAM,WMUC-Reel-212,bcast-020970-0001,00:43:15,00:43:09,"48000 hz/24 bit; the ADAT contains stems of the following content which can be found in the masters;  bcast-020970-0001 = drums only between 00:18:22 -00:19:08, bcast-020970-0002 = guitar mic 1, bcast-020970-0003 = guitar mic 2 , bcast-020970-0004 = bass guitar and guitar, bcast-020970-0005 = vocal, bcast-020970-0006 = horns, bcast-020970-0007 = room mic/backup vocals, bcast-020970-0008 = drums,  bcast-020970-0009 is the production master produced for the derivatives; on Wells drive; track 2 contains digital audio dropouts between 00:37:27 - 00:42:33",,,mono,DCMR,"Borchers, Henry",2013-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,"Alesis ADAT ""Blackface"" ""Bud's ADAT""",,,,,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=3ca7dfc72f2b482
