XMLType,DigitalCollectionsURLs,UMDM,UMAM,SharestreamURLs,ItemControlNumber,FileName,DurationMasters,DurationDerivatives,DigitizationNotes,DigitizedByDept,DigitizedByPers,DateDigitized,PlaybackDevice,AnalogInterface,DigitizationSoftware,Contributor,AlternateTitle,Title,Provider/Publisher,Description/Summary,Collection,AccessionNumber,PhysicalLocation,Repository,CopyrightHolder,Rights,Subjects,Genre,Century,DateAttribute,DateCreated,OriginalBroadcastDate,RecordingNotes,Mono/Stereo,TrackFormat,Frequency,Dimensions,TypeOfMaterial,PlaybackSpeed,MediaType/Form,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,QANotes,NoteToHenry,Finished,Cassette Information
UMDM,,,,,1.1.1.1.0,,,,,,,,,,,,,"Marshall Mason - Independence KS, - Interviewer: Jackson R. Bryer (three cassettes), April 2 and 23, 1990",,"Marshall Mason interviewed by University of Maryland professor Jackson R. Bryer on April 2 and 23, 1990. ",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,1901-2000,multiple,1990-04-02; 1990-04-23,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,Kansas,Independence,,Tape hiss; whir of recorder prevalent across entirely of first and third tapes does not affect intelligibilty of conversation; end of Side A of first tape is cut off; thin sound on Side A of second tape; occasional dropouts on Side A of third tape; end of Side A and beginning of Side B cut off. ,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=f89a8637c20e46e,1.1.1.1.0,scpa-020373-0001,00:48:15,00:47:45,Side A,DCMR,"Ostrye, Sarah",2013-05-08,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: TDK; Length: 90; Oxide: Type 1; Noise reduction: none; Equalization: IEC1 Type 1 EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=4d48c686a631454,1.1.1.1.0,scpa-020373-0002,00:47:51,00:47:42,Side B,DCMR,"Ostrye, Sarah",2013-05-08,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: TDK; Length: 90; Oxide: Type 1; Noise reduction: none; Equalization: IEC1 Type 1 EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=089f97a39b5c404,1.1.1.1.0,scpa-020373-0003,00:48:15,00:29:27,Side B of the second tape is 00:47:51 but is blank so no derivatives of it exist.,DCMR,"Ostrye, Sarah",2013-05-08,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: TDK; Length: 90; Oxide: Type 1; Noise reduction: none; Equalization: IEC1 Type 1 EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=69c5609c10e94ed,1.1.1.1.0,scpa-020373-0005,00:46:20,00:46:08,Side A,DCMR,"Ostrye, Sarah",2013-05-08,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: TDK; Length: 90; Oxide: Type 1; Noise reduction: none; Equalization: IEC1 Type 1 EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=3668188def76461,1.1.1.1.0,scpa-020373-0006,01:06:08,00:09:45,Side A,DCMR,"Ostrye, Sarah",2013-05-08,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: TDK; Length: 90; Oxide: Type 1; Noise reduction: none; Equalization: IEC1 Type 1 EQ
UMDM,,,,,1.1.1.2.0,,,,,,,,,,,,,"Jean-Claude van Itallie - Charlemont, MA - Interviewer: Gene A. Plunka, December 27, 1992",,"Jean-Claude van Itallie - Charlemont, MA - Interviewer: Gene A. Plunka. Plunka interviews director/producer van Itallie (van Itallie reads Plunka's questions and answers them; he recorded himself). December 27, 1992.",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,1901-2000,,1992-12-27,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,Massachusetts,Charlemont,,General tape hiss; constant audio buzz; end of Side A is cut off; dropout from 00:07:21-00:07:26 on Side B,,,
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=7c1d71100d704b3,1.1.1.2.0,scpa-020145-0001,00:51:09,00:50:52,"Side A; there is no recorded sound on the left channel, so duplicated right channel and pasted into left channel on derivatives",DCMR,"Allen, Sara",2013-04-17,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 100; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II EQ
UMAM,,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=89ec82d8b592494,1.1.1.2.0,scpa-020145-0002,00:50:53,00:19:07,"Side B; there is no recorded sound on the left channel, so duplicated right channel and pasted into left channel on derivatives",DCMR,"Allen, Sara",2013-04-17,,RME Fireface UCX,Adobe Audition CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Brand: Maxell; Length: 100; Oxide: Type II; Noise reduction: none; Equalization: IEC Type II EQ
UMDM,,,,,1.1.1.3.0,,,,,,,,,,,,,"A.R. Gurney - Chicago, IL - Interviewer: Arvid F. Sponberg, February 24 and March 24, 1994",,"A.R. Gurney interviewed by Arvid F. Sponberg on February 24 and March 24, 1993.",Jackson R. Bryer Interviews Collection,,1.1.1,Special Collections in Performing Arts,,,"University of Maryland; Performing Arts, Music",Spoken word,1901-2000,multiple,1993-02-24; 1993-03-24,,,Stereo,,,,audiocassette,,Spoken word,North America,United States of America,Illinois,Chicago,,"Interviewer states the year is 1993 and they are in the Sacks building in Chicago after a reading of Gurney's new play ""The Fourth Wall""; nearly four dozen pops on Side A and nearly three dozen pops on Side B are artifacts of recording and are annoying, but they do not interfere with intelligibility; general tape hiss; left channel is stronger on both sides; interview appears to be of one piece:  is March 24 written on tape label?",Is March 24 written on tape label?: Not on the tape label but it is on the case - HB,,
