XMLType,DigitalCollectionsURLs,UMDM,UMAM,SharestreamURLs,Identifier,FileName,DurationMasters,DurationDerivatives,DigitizationNotes,DigitizedByDept,DigitizedByPers,DateDigitized,PlaybackDevice,AnalogInterface,DigitizationSoftware,Title,AlternateTitle,Creator,CreatorType,Contributor,ContributorType,Provider/Publisher,Provider/Publisher Type,Description/Summary,FedoraCollection,Accession,Series,Subseries,Box,Item,ArchivalCollection,CopyrightHolder,Rights,RepositoryBrowse,DateAttribute,DateCreated,OriginalBroadcastDate,Century,RecordingNotes,Mono/Stereo,TrackFormat,Frequency,MediaType,FormType,Form,Format,Dimensions,PlaybackSpeed,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,QANotes,Finished,Language,TopicalSubject,GeographicalSubject,CorpSubject,PersonalSubject
UMDM,,,,,MAD 001,,,,,,,,,,,"Madrigal Singers, Spring Concert, tape 2, March 11, 1962",University of Maryland Madrigal Singers: Tape II 1962 Spring Concert,,,Madrigal Singers,corpName,University of Maryland,corpName,"Concluded TV ""25th Hour"" appearance. No program available.",Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1962-03-11,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,hiss,yes,,,,,
UMAM,,,,,MAD 001,scpa-023097-0001,00:32:32,00:32:32,,George Blood Audio Video,,2013-09-11,Studer B67,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,mono,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 002,,,,,,,,,,,"Madrigal Singers, NBC Great Choirs program, December 1962",Madrigal Singers - NBC Great Choirs,,,Madrigal Singers,corpName,University of Maryland,corpName,Recorded by McCartney. No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",circa,1962-12,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,"beginning cut off; hum; from technician's notes: ""Gain increased on original tape at top""; end cut off",yes,,,,,
UMAM,,,,,MAD 002,scpa-023098-0001,00:36:45,00:36:45,,George Blood Audio Video,,2013-09-11,Studer B67MKII,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,mono,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 003,,,,,,,,,,,"Madrigal Singers, WBAL Carole, December 12, 1962",Madrigal Singers - WBAL Carole,,,Madrigal Singers,corpName,University of Maryland,corpName,No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1962-12-12,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,"in first file, test tone from 00:12:45-00:13:08; in second file, intermittent hum at 60 Hz and 9k; second file is another NBC Great Choirs performance",yes,,,,,
UMAM,,,,,MAD 003,scpa-023099-0001,00:29:43,00:29:43,,George Blood Audio Video,,2013-09-11,Ampex ATR-102,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,mono,,,,,,,,,,,,,,,,,,,,
UMAM,,,,,MAD 003,scpa-023099-0002,00:30:11,00:30:11,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 004,,,,,,,,,,,"Madrigal Singers, NBC Great Choirs program, January 3, 1963",Madrigal Singers - NBC network Great Choirs #3,,,Madrigal Singers,corpName,University of Maryland,corpName,No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1963-01-03,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,UMD Libraries misspelled the title; loud pop at 00:07:19,yes,,,,,
UMAM,,,,,MAD 004,scpa-023100-0001,00:13:15,00:13:15,,George Blood Audio Video,,2013-09-11,Ampex ATR-104,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 005,,,,,,,,,,,"Madrigal Singers at Howard University, summer 1963",Madrigal Singers - Tape - Howard U. ,,,Madrigal Singers,corpName,University of Maryland,corpName,Program inside case.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",circa,1963,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,District of Columbia,Washington,,,yes,,,,,
UMAM,,,,,MAD 005,scpa-023101-0001,00:22:13,00:22:13,,George Blood Audio Video,,2013-09-11,Studer B67,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 006,,,,,,,,,,,"Madrigal Singers rehearsal, October 3, 1963",Madrigal Singers - Rehearsal,,,Madrigal Singers,corpName,University of Maryland,corpName,Some notes inside case. No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1963-10-03,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,,yes,,,,,
UMAM,,,,,MAD 006,scpa-023102-0001,00:32:15,00:32:15,,George Blood Audio Video,,2013-09-11,Ampex ATR-102,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,mono,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 007,,,,,,,,,,,"Madrigal Singers, NBC Radio Network, Part 1 of 3, undated",N.B.C. Radio Network Part 1 of 3,,,Madrigal Singers,corpName,University of Maryland,corpName,Some notes included with Part 1. No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,undated,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,hiss,yes,,,,,
UMAM,,,,,MAD 007,scpa-023103-0001,00:46:35,00:46:35,,George Blood Audio Video,,2013-09-11,Ampex ATR-104,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 008,,,,,,,,,,,"Madrigal Singers, NBC Radio Network, Part 2 of 3, undated",N.B.C. Radio Network Part 2 of 3,,,Madrigal Singers,corpName,University of Maryland,corpName,Some notes included with Part 1. No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,undated,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,hiss; end cut off,yes,,,,,
UMAM,,,,,MAD 008,scpa-023104-0001,00:20:31,00:20:31,,George Blood Audio Video,,2013-09-11,Studer B67MKII,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 009,,,,,,,,,,,"Madrigal Singers, NBC Radio Network, Part 3 of 3, undated",N.B.C. Radio Network Part 3 of 3,,,Madrigal Singers,corpName,University of Maryland,corpName,Some notes included with Part 1. No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,undated,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,beginning cut off; hiss,yes,,,,,
UMAM,,,,,MAD 009,scpa-023105-0001,00:31:03,00:31:03,,George Blood Audio Video,,2013-09-11,Studer B67,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 010,,,,,,,,,,,"The Optimist Club of Braddock Heights presents the Madrigal Singers with radio station WFMD, December 14, 1966","The Optimist Club of Braddock Heights presents The Madrigal Singers, with Radio Station WFMD",,,Madrigal Singers,corpName,University of Maryland,corpName,Additional notes included. Program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1966-12-14,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,hiss; distortion,yes,,,,,
UMAM,,,,,MAD 010,scpa-023106-0001,00:16:36,00:16:36,,George Blood Audio Video,,2013-09-11,Ampex ATR-102,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 011,,,,,,,,,,,"Madrigal Singers, Spring Concert, Rose Marie Grentzer, Conductor, May 9, 1965","Madrigal Singers Spring Concert, Rose Marie Grentzer, Conductor",,,Madrigal Singers,corpName,University of Maryland,corpName,Additional notes included. Program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",,1965-05-09,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Maryland,College Park,,,yes,,,,,
UMAM,,,,,MAD 011,scpa-023107-0001,00:29:38,00:29:38,,George Blood Audio Video,,2013-09-11,Studer B67,Prism Sound,,,,,,,,,,,,,,,,,,,Public,,,,,,,stereo,,,,,,,,,,,,,,,,,,,,
UMDM,,,,,MAD 012,,,,,,,,,,,"Madrigal Singers, State Department tour, Radio Tunis RMG interview, spring 1964","Madrigal Singers - State Dept. Tour, Radio Tunis, RMG, Interview",,,Madrigal Singers,corpName,University of Maryland,corpName,Interview with Anne Carter (French). No program available.,Music & Performing Arts,,,,,,Special Collections in Performing Arts,"University of Maryland (College Park, Md.)","Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.","Performing Arts, Music",circa,1964,,1901-2000,,,,,,,vocal music,"1/4"" open reel tape","7""",,North America,United States of America,Tunisia,Tunis,,hiss,yes,,,,,
