XMLType,ItemControlNumber,FileName,DurationMasters,DurationDerivatives,DigitizationNotes,RecordingNotes,TrackFormat,Mono/Stereo,DigitizedByDept,DigitizedByPers,DateDigitized,Title,AlternateTitle,Contributor,Provider/Publisher,Description/Summary,Frequency,Collection,AccessionNumber,PhysicalLocation,Repository,CopyrightHolder,Rights,Subjects,Century,DateAttribute,DateCreated,BroadcastDate,Dimensions,TypeOfMaterial,InchesperSecond,Genre,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,PlaybackDevice,AnalogInterface,DigitizationSoftware,QA,NOTE TO HENRY,Finished,UMDM,UMAM,SharestreamURLs
UMDM,au rl orig 2601,,,,,,,,,,,"Bluegrass Winter Festival, Scott Stoneman tribute, on WAMU, March 6, 1988",,"Stubbs, Eddie","WAMU (Radio station : Washington, District of Columbia)","This tribute episode devoted to the bluegrass fiddle player Scott Stoneman aired on WAMU 88.5 FM in Washington, District of Columbia, on March 6, 1988.",FM,WAMU Collection,WAMU 1993-23,,National Public Broadcasting Archives in Mass Media and Culture,WAMU,,,1901-2000,,1988-03-06,1988-03-06,10.5,"1/4"" open reel tape",7.5,Instrumental and vocal music,North America,United States of America,,,"Sticky shed, was baked before transfer.",,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=43a0d9701a6f4e1
UMAM,au rl orig 2601,bcast-020335-0001,01:07:20,01:01:06,Removed 1k tone at 00:00:40 - 00:01:21 in original master for derivative; occasional slight pops and left channel drop outs,Return to LMD; in Control 3 on Tape 1 at 7 1/2 ips; In Cue (music); Out Cue: (music and ID); Music out: 60:55; eng.: LMD,half,stereo,DCMR,"Borchers, Henry",2013-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,
UMDM,au rl orig 2879,,,,,,,,,,,"Interview with Eddie Adcock and John Duffey of the Country Gentlemen on WAMU, undated",Interview John Duffey and Eddie Adcock,"Adcock, Eddie (interviewee); Duffey, John (interviewee)","WAMU (Radio station : Washington, District of Columbia)","Interview with Eddie Adcock and John Duffey of the Country Gentlemen on WAMU, undated.",FM,WAMU Collection,WAMU 1993-23,,National Public Broadcasting Archives in Mass Media and Culture,WAMU,,,1901-2000,,undated,undated,10.5,"1/4"" open reel tape",7.5,Spoken word,North America,United States of America,,,"Sticky shed, was baked before transfer.",,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=c98e4fcc38b2407
UMAM,au rl orig 2879,bcast-020341-0001,00:11:23,00:10:22,Removed 1k tone at 00:00:23 - 00:00:49 in original master for derivatives; slight audio distortion,,,stereo,DCMR,"Borchers, Henry",2013-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,
UMDM,au rl orig 2878,,,,,,,,,,,"Jerry Gray Show, interview with Charlie Waller and John Duffey, March 9, 1986",Jerry Gray Interviews John Duffey & Charlie Waller circa 1981,"Gray, Jerry (interviewer); Duffey, John (interviewee); Waller, Charlie (interviewee)","WAMU (Radio station : Washington, District of Columbia)","Jerry Gray Show, interview with Charlie Waller and John Duffey, March 9, 1986.",FM,WAMU Collection,WAMU 1993-23,,National Public Broadcasting Archives in Mass Media and Culture,WAMU,,,1901-2000,,1986-03-09,1986-03-09,10.5,"1/4"" open reel tape",7.5,Instrumental and vocal music,North America,United States of America,,,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=46e103f083cc4a8
UMAM,au rl orig 2878,bcast-020347-0001,01:06:38,00:58:21,Removed 1k tone at 00:00:22 - 00:00:45 in original master for derivative; occasional pops; drop out at 00:48:04 in derivatives,Re-dubbed Jan. 1997 - 7 1/2 ips; On New Ampex 406,,stereo,DCMR,"Borchers, Henry",2013-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,
UMDM,au rl orig 2871,,,,,,,,,,,"Bluegrass Winter Festival featuring Seldom Scene live in concert, April 18, 1988",Seldom Scene live concert,,"WAMU (Radio station : Washington, District of Columbia)","Bluegrass Winter Festival featuring Seldom Scene live in concert, April 18, 1988.",FM,WAMU Collection,WAMU 1993-23,,National Public Broadcasting Archives in Mass Media and Culture,WAMU,,,1901-2000,,1988-04-18,1988-05-28,10.5,"1/4"" open reel tape",7.5,Instrumental and vocal music,North America,United States of America,,,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=d0d936903928486
UMAM,au rl orig 2871,bcast-020348-0001,01:07:00,01:06:28,,"Seldom Scene; Reel 2; Time air: 1 pm; Date Air: 5/28/88; In cue: ""Hello and welcome back...""; Out cue: ""NPR Systems Cue""; Length 58:15; Checked by BG",half,stereo,DCMR,"Borchers, Henry",2013-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,
UMDM,au rl orig 2849,,,,,,,,,,,"Don Owens tribute with Dick Spottswood, February 23, 1985","Don Owens Tribute with Dick Spottswood, 2/23/1985",,"WAMU (Radio station : Washington, District of Columbia)","This tribute episode devoted to Don Owens aired on WAMU 88.5 FM in Washington, District of Columbia, on February 23, 1985.",FM,WAMU Collection,WAMU 1993-23,,National Public Broadcasting Archives in Mass Media and Culture,WAMU,,,1901-2000,,1985-02-23,1985-02-23,10.5,"1/4"" open reel tape",7.5,Instrumental and vocal music,North America,United States of America,,,,,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=86301cbbd1fd477
UMAM,au rl orig 2849,bcast-020355-0001,01:07:18,01:05:13,occasional crackle and pops; some of the recordings are completely crackly but still audible and intelligible; beginning and end cut off,Aired 2-23-85; Engineer - LMD,half,stereo,DCMR,"Borchers, Henry",2013-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,
UMDM,au rl orig 1244,,,,,,,,,,,"Jerry Gray Show, interview with Bennie Cain of Benny & Vallie Cain & the Country Clan, February 21, 1981",Festival Spotlight #3 Guest: Bennie Cain (Benny & Vallie Cain & the Country Clan),,"WAMU (Radio station : Washington, District of Columbia)","Jerry Gray Show, interview with Bennie Cain of Benny & Vallie Cain & the Country Clan, February 21, 1981.",FM,WAMU Collection,WAMU 1993-23,,National Public Broadcasting Archives in Mass Media and Culture,WAMU,,,1901-2000,,1981-02-21,1981-02-21,7,"1/4"" open reel tape",7.5,Instrumental and vocal music,North America,United States of America,,,"Sticky shed, was baked on 2013-04-30 before transfer.",,RME Fireface UCX,Adobe Audition CS6,Y,,Y,,,http://streamer.lib.umd.edu/ssdcms/i.do?u=9bb12f5469b1410
UMAM,au rl orig 1244,bcast-020357-0001,00:30:50,00:28:41,occasional slight crackle and pops,Incue: Music; Outcue: Music; Airs 2/21/81 7:30 pm,half,stereo,DCMR,"Borchers, Henry",2013-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,"ReVox C70 ""George""",,,,,,,,
